subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,8/19/2020,all,34.235002,33.454098,17.796073,12.010591,19-08-20 10:15
concern-economy,8/19/2020,all,56.552666,30.7162,8.0680151,3.0216456,19-08-20 10:15
concern-infected,8/18/2020,all,34.677532,33.414584,17.534226,11.746447,18-08-20 19:50
concern-economy,8/18/2020,all,56.552666,30.7162,8.0680151,3.0216456,18-08-20 19:50
concern-economy,8/17/2020,all,57.24885,29.807124,8.5189605,2.8884457,17-08-20 22:45
concern-infected,8/17/2020,all,34.677532,33.414584,17.534226,11.746447,17-08-20 22:45
concern-infected,8/16/2020,all,35.469771,33.208395,18.564398,11.354209,16-08-20 9:05
concern-economy,8/16/2020,all,56.973458,30.236948,8.6181157,2.9179429,16-08-20 9:05
concern-economy,8/15/2020,all,56.973458,30.236948,8.6181157,2.9179429,16-08-20 9:05
concern-infected,8/15/2020,all,35.469771,33.208395,18.564398,11.354209,16-08-20 9:05
concern-economy,8/14/2020,all,56.973458,30.236948,8.6181157,2.9179429,14-08-20 9:05
concern-infected,8/14/2020,all,35.469771,33.208395,18.564398,11.354209,14-08-20 9:05
concern-economy,8/13/2020,all,56.973458,30.236948,8.6181157,2.9179429,13-08-20 18:45
concern-infected,8/13/2020,all,35.597263,33.380997,18.581767,11.058234,13-08-20 18:45
concern-infected,08-12-20,all,35.455648,34.217724,17.850494,10.72564,12-08-20 16:05
concern-economy,08-12-20,all,56.973458,30.236948,8.6181157,2.9179429,12-08-20 16:05
concern-infected,08-11-20,all,35.635448,34.002272,17.771062,10.65254,11-08-20 16:55
concern-economy,08-11-20,all,56.973458,30.236948,8.6181157,2.9179429,11-08-20 16:55
concern-economy,08-10-20,all,56.458081,30.566238,8.8771685,2.7863659,10-08-20 13:25
concern-infected,08-10-20,all,35.635448,34.002272,17.771062,10.65254,10-08-20 13:25
concern-economy,08-09-20,all,56.458081,30.566238,8.8771685,2.7863659,10-08-20 10:35
concern-infected,08-09-20,all,35.635448,34.002272,17.771062,10.65254,10-08-20 10:35
concern-economy,08-08-20,all,56.458081,30.566238,8.8771685,2.7863659,10-08-20 10:35
concern-infected,08-08-20,all,35.635448,34.002272,17.771062,10.65254,10-08-20 10:35
