"","B_COUNTRY_ALPHA","Q46","Q49","Q274"
"1","AND",1,10,2
"2","AND",1,9,0
"3","AND",2,9,0
"4","AND",2,8,1
"5","AND",2,7,0
"6","AND",1,10,3
"7","AND",2,5,1
"8","AND",2,8,2
"9","AND",1,8,0
"10","AND",1,10,1
"11","AND",2,8,1
"12","AND",1,8,2
"13","AND",1,10,1
"14","AND",2,7,2
"15","AND",3,10,3
"16","AND",2,1,0
"17","AND",2,8,0
"18","AND",2,8,2
"19","AND",1,8,1
"20","AND",2,9,1
"21","AND",1,10,2
"22","AND",1,10,2
"23","AND",2,9,2
"24","AND",1,9,0
"25","AND",2,7,0
"26","AND",1,10,1
"27","AND",2,9,2
"28","AND",2,7,2
"29","AND",3,9,1
"30","AND",2,6,1
"31","AND",2,9,2
"32","AND",2,7,2
"33","AND",2,6,2
"34","AND",2,10,2
"35","AND",2,7,1
"36","AND",2,9,0
"37","AND",1,9,1
"38","AND",2,8,3
"39","AND",2,6,0
"40","AND",2,7,1
"41","AND",2,5,3
"42","AND",3,7,1
"43","AND",2,7,1
"44","AND",2,5,0
"45","AND",2,7,1
"46","AND",3,6,1
"47","AND",3,4,0
"48","AND",2,8,0
"49","AND",2,3,2
"50","AND",2,5,6
"51","AND",2,7,2
"52","AND",4,5,0
"53","AND",1,7,0
"54","AND",2,7,0
"55","AND",2,7,0
"56","AND",2,7,1
"57","AND",2,6,1
"58","AND",2,8,2
"59","AND",2,8,0
"60","AND",2,8,0
"61","AND",2,8,1
"62","AND",2,8,0
"63","AND",3,5,0
"64","AND",1,8,1
"65","AND",2,9,1
"66","AND",2,7,1
"67","AND",2,6,0
"68","AND",1,9,1
"69","AND",2,7,0
"70","AND",2,7,0
"71","AND",2,9,0
"72","AND",2,7,3
"73","AND",1,10,0
"74","AND",2,5,3
"75","AND",2,5,2
"76","AND",2,9,6
"77","AND",2,7,0
"78","AND",1,8,1
"79","AND",3,7,1
"80","AND",2,6,1
"81","AND",3,8,2
"82","AND",2,8,1
